2026-02-24 19:00:25 UTC|/Ekskursija-Liepaja/map.html?name=fxz|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|1244|71|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1244:71     at HTMLButtonElement. (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1271:9)|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:19 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:24 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:40 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:42 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:43 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:43 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:43 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:44 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:44 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:46 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:05:46 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:08:01 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:08:03 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|1243|71|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1243:71     at HTMLButtonElement. (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1270:9)|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:26:53 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:26:55 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:33:07 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3714|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3714:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3725:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
